Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Statewide Park Development and Community Revitalization Program,California State Parks Office of Grants and Local Services,Recurring,Final guide expected summer 2026; application period opens summer 2026,California,,,Local agencies and eligible community partners under final guide,Mixed,parks; underserved communities; recreation access; public health,Can create or renovate parks that serve as visitor and resident anchors.,Can create or renovate parks that serve as visitor and resident anchors,$188.5M program total,Unsure,https://www.parks.ca.gov/NewsRelease/1523,2026-06-09,RERC-FND-0067
Funding,Bike Program,California Transportation Commission,Recurring,Check with the program,California,,,"federal, state, and local transportation agencies",Mixed,Infrastructure; Recreation,To fully integrate bicycles into all aspects of the California transportation system and to improve safety and convenience for bicyclists on state and local facilities.,May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.,Technical Assistance,See program,https://catc.ca.gov/programs/active-transportation-program,2026-06-09,RERC-FND-0052
Funding,Active Transportation Program,California Transportation Commission and Caltrans,Recurring,Recurring ATP cycles,California,,,Local agencies; regional agencies; transit agencies; tribes; nonprofits through eligible sponsors,Mixed,walking; biking; Safe Routes; trails; active transportation,"Builds bike-ped links connecting downtowns, parks, trailheads, and schools.","Builds bike-ped links connecting downtowns, parks, trailheads, and schools",Varies by cycle,Varies,https://catc.ca.gov/programs/active-transportation-program,2026-06-09,RERC-FND-0050
Funding,Public Access Program,California Wildlife Conservation Board,Recurring,Check with the program,California,,,"501(c)(3) nonprofit organizations, local governmental agencies, federal agencies, state agencies, and California Native American tribes",Planning,Recreation; Planning; Conservation,Provides planning and implementation funds to support wildlife-oriented recreation opportunities.,May support rural community goals related to recreation and planning. Confirm current eligibility and project fit with the program.,See program,No,https://wcb.ca.gov/Programs,2026-06-09,RERC-FND-0062
Funding,Wildlife Conservation Board Grant Opportunities,California Wildlife Conservation Board,Open when checked,Ongoing project portal and board-meeting award cycles,California,,,"Eligible public agencies, tribes, nonprofits, and conservation partners",Mixed,habitat protection; restoration; wildlife crossings; public access,"Protects and restores landscapes and public-access assets that support wildlife viewing, trails, and rural nature tourism.","Protects and restores landscapes and public-access assets that support wildlife viewing, trails, and rural nature tourism",Recent 2026 approvals include $59.6 million and $80.4 million board actions; awards vary,Varies,https://wcb.ca.gov/,2026-06-09,RERC-FND-0068
Funding,Route to Parks Grants,Parks California,Recurring,2026 cycle reported; verify current window,California,,,Community and tribal organizations,Implementation,park access; community trips; outdoor equity; tribal and community organizations,Helps underserved rural residents and partners connect to state parks and outdoor experiences.,Helps underserved rural residents and partners connect to state parks and outdoor experiences,Unsure,Unsure,https://parkscalifornia.org/route-to-parks,2026-06-09,RERC-FND-0064
Funding,Sierra Nevada Conservancy Grants,Sierra Nevada Conservancy,Recurring,Concept proposals for June 2026 board were due 2025-12-01; recurring consultations,California,,,Public agencies; tribes; nonprofits; eligible regional partners,Mixed,forest health; watershed; wildfire risk; community capacity; recreation landscapes,"Fits rural mountain recreation communities managing forests, watersheds, and access.","Fits rural mountain recreation communities managing forests, watersheds, and access",Varies,Varies,https://sierranevada.ca.gov/grants,2026-06-09,RERC-FND-0065
Funding,USDA Forest Service - Forest Legacy Program,USDA Forest Service,Open when checked,"Deadline for FY2028 funding consideration: September 21, 2026.",California,,,"Communities, land trusts, and conservation organizations working through their state lead agency",Acquisition; conservation,forest conservation; easement; acquisition; recreation; habitat; water quality; working lands,Provides grants to state agencies to permanently conserve important forest lands through purchases or conservation easements.,"Can protect forests that support recreation, clean air and water, wildlife habitat, and forest-based jobs.",Check with the program,See program,https://www.fs.usda.gov/managing-land/private-land/forest-legacy,2026-06-23,RERC-FND-0054
Funding,Colorado Creative Districts,"Colorado Creative Industries, OEDIT",Open when checked,certification cycle varies,Colorado,,,"structured local entities including governments, downtown authorities, nonprofits",Mixed,"creative_placemaking, heritage_tourism, downtown, arts","Helps recreation towns connect arts, culture, downtown identity, and visitor spending.","Helps recreation towns connect arts, culture, downtown identity, and visitor spending.","up to $10,000 for newly certified districts plus TA",local match required,https://oedit.colorado.gov/colorado-creative-districts,2026-06-09,RERC-FND-0071
Funding,Revitalizing Main Streets Program,Colorado DOT,Recurring,Check with the program,Colorado,,,"Local Governments, Business Improvement Districts, Council of Governments, on behalf of a local jurisdiction and with proof of support from that local jurisdiction, University or College",Mixed,Infrastructure; Economic Development; Energy/Climate,Enhances active transportation safety and strengthens the connection of people to main streets and central economic hubs.,May support rural community goals related to infrastructure and economic development. Confirm current eligibility and project fit with the program.,"Up to $250,000","Yes, 10%",https://www.codot.gov/programs/revitalizingmainstreets,2026-06-09,RERC-FND-0079
Funding,Transportation Alternatives Program,Colorado Department of Transportation,Recurring,currently closed; next grant period anticipated October 2026,Colorado,,,"local governments, transportation authorities, transit agencies, natural resource agencies, school districts, tribes",Mixed,"active_transportation, bike_ped, trails, overlooks, historic_preservation","Funds bike, pedestrian, trail, overlook, and main-street access projects tied to outdoor tourism.","Funds bike, pedestrian, trail, overlook, and main-street access projects tied to outdoor tourism.",varies by region and solicitation,usually federal match structure; confirm regional guidance,https://www.codot.gov/programs/planning/grants/tap,2026-06-09,RERC-FND-0081
Funding,Charge Ahead Colorado,Colorado Energy Office and Regional Air Quality Council,Open when checked,"Recurring competitive rounds, Spring 2026 round noted",Colorado,,,"Public, workplace, multifamily, community, and other publicly available charging sites",Mixed,"EV charging, visitor infrastructure, clean transportation","Helps rural destinations add EV charging at trailheads, downtowns, lodging nodes, and visitor centers.","Helps rural destinations add EV charging at trailheads, downtowns, lodging nodes, and visitor centers",Varies by charger type and solicitation,Varies by solicitation,https://climate.colorado.gov/charge-ahead-colorado,2026-06-09,RERC-FND-0069
Funding,Colorado Community Revitalization Tax Credit,"Colorado OEDIT, Colorado Creative Industries, Business Funding and Incentives",Open when checked,2026 program guidance and tax-year use,Colorado,,,Capital improvement projects supporting creative industries and workers,Mixed,"adaptive reuse, creative districts, mixed-use, downtown revitalization","Useful for reuse of historic or vacant buildings into recreation-economy anchors, maker space, lodging, or community venues.","Useful for reuse of historic or vacant buildings into recreation-economy anchors, maker space, lodging, or community venues","Income tax credit, program cap reported at about $10M per year",See program,https://oedit.colorado.gov/programs-and-funding/tax-credits/colorado-community-revitalization-tax-credit,2026-06-09,RERC-FND-0070
Funding,Non-Motorized Trails Grants,Colorado Parks and Wildlife,Recurring,next cycle opens 2026-08-01; deadline in October,Colorado,,,"local, county, federal, tribal governments, districts, 501(c)(3)s",Mixed,"trail_construction, trail_maintenance, trail_planning, stewardship",Trail systems are core visitor infrastructure for RERC communities.,Trail systems are core visitor infrastructure for RERC communities.,"up to $250,000 construction or maintenance; up to $45,000 planning or support; up to $150,000 stewardship",25% of grant request; 10% of minimum match cash,https://cpw.state.co.us/non-motorized-trails-grants,2026-06-09,RERC-FND-0076
Funding,Partners in the Outdoors Grant Program,Colorado Parks and Wildlife,Open when checked,applications open 2026-06-01; due 2026-07-17,Colorado,,,"nonprofits, tribes, school districts, government entities",Implementation,"outdoor_access, stewardship, education, partnerships","Useful for small early-win projects, partner events, and outdoor stewardship capacity.","Useful for small early-win projects, partner events, and outdoor stewardship capacity.","up to $10,000",Not required; strongly recommended,https://cpw.state.co.us/partners-outdoors-grant,2026-06-09,RERC-FND-0078
